Minisector,TSU,LAT,Fastest
0,266.9601931368936,268.9483325333333,LAT
1,286.0289472,289.8476504880708,LAT
2,286.95005274028955,295.80637032535907,LAT
3,122.13115604848485,123.15308730204767,LAT
4,191.08451324542423,184.80222376744567,TSU
5,247.32956416145126,247.87890902089998,LAT
6,138.80640576012325,141.78918836993708,LAT
7,195.61404152098766,193.5945108804233,TSU
8,254.83808607944454,255.43517525777978,LAT
9,276.5589601122807,273.2782927775868,TSU
10,220.1305413294999,228.11699985066664,LAT
11,175.6132734960362,172.6444797946699,TSU
12,185.68545980206548,181.42680638423644,TSU
13,145.8355713319146,146.90873847660322,LAT
14,171.81184257939395,170.36392418739038,TSU
15,159.6237393165266,156.9591276385187,TSU
16,218.37797971017142,212.44218155806405,TSU
17,225.04510942608695,223.51921609938609,TSU
18,232.6190196133052,230.20754813861097,TSU
19,230.94420377971014,239.32618116810286,LAT
20,141.70249948471601,137.12027555977645,TSU
21,134.62166731809523,138.76478014216028,LAT
22,167.08077065661064,162.5087038412912,TSU
23,147.92157998769738,145.97027100105822,TSU
24,224.81275959294572,217.71615180890055,TSU
25,,255.175,LAT
