Minisector,PER,SAI,Fastest
0,274.4275956158454,277.210995002963,SAI
1,297.92358502871696,301.2312342095238,SAI
2,297.51162034962965,302.1008333866667,SAI
3,168.77655094682206,174.2084871397666,SAI
4,116.95186399680249,114.99169761111384,PER
5,233.82993752427245,236.8621804245754,SAI
6,283.7166297035294,285.79232054943407,SAI
7,298.7048478293333,304.16328145888195,SAI
8,185.3298538193005,177.32476803621634,PER
9,134.71821896239996,134.77013859662858,SAI
10,244.5512600239863,246.23387252443501,SAI
11,285.8683276486003,290.1109673827973,SAI
12,298.5371599129252,304.23476986385964,SAI
13,282.6157917156275,284.80156834915834,SAI
14,292.199411101998,295.20158726603177,SAI
15,295.377440792381,295.6015391755514,SAI
16,259.3749096069565,257.4963499943967,PER
17,227.90773012742324,217.75061664878166,PER
18,273.8811741221978,273.83706637113994,PER
19,295.3522773047695,300.40724769583625,SAI
20,296.27153321743145,310.56377341234565,SAI
21,240.5517531867351,230.0161630627725,PER
22,259.4654071626877,254.79901583394974,PER
23,139.7467999710826,135.08759755478138,PER
24,206.49815432527126,192.15106780052173,PER
25,252.6875008,253.40659733333334,SAI
