Minisector,RUS,ALB,Fastest
0,322.29666103335785,324.7023598998467,ALB
1,332.24397532113517,332.70587507377775,ALB
2,333.53954365079363,336.92113384683296,ALB
3,192.73269369543942,210.51360730435786,ALB
4,126.32520282883232,128.9034705697922,ALB
5,266.8533639376938,266.6808627302357,RUS
6,300.63218096250023,301.9853769343066,ALB
7,315.5769584762716,314.22590285333337,RUS
8,283.59839550442723,292.0863847519244,ALB
9,148.38995957751658,149.0754726947195,ALB
10,227.92276908178894,227.45953641824318,RUS
11,231.28889476778366,227.62405273660573,RUS
12,207.45214469402683,205.75039361240042,RUS
13,272.16287447197874,270.957187035478,RUS
14,309.13888334610647,305.9418891076566,RUS
15,320.04677248677245,316.28244347777024,RUS
16,272.2315939486808,277.1376053295037,ALB
17,222.6448118371721,220.89113400380953,RUS
18,280.12462389100943,279.5499011360121,RUS
19,310.1550396825397,310.4444565954401,ALB
20,320.39643119264827,323.6782406871252,ALB
21,298.04411771294764,316.69521980266666,ALB
22,222.80635802469135,219.16317705007137,RUS
23,270.60572685749236,264.8919215139588,RUS
24,306.66775017253275,304.3084312393441,RUS
25,,316.1347221333333,ALB
