Minisector,VER,ANT,Fastest
0,294.12602775820665,290.27443195967305,VER
1,164.81392592021993,165.18404254627666,ANT
2,179.9087728357092,169.23695644143316,VER
3,251.8232843276334,253.14077814905517,ANT
4,284.0221706764289,286.8940809480671,ANT
5,260.7285118114286,255.9366969028019,VER
6,228.13188614509403,223.77864945044803,VER
7,151.83054542746203,154.62053095215592,ANT
8,222.4008351753484,232.63850210197674,ANT
9,278.9873109317172,278.0797617320635,VER
10,299.88021457290927,300.6054871082489,ANT
11,310.84325984174984,312.3618605894885,ANT
12,315.38846760293427,318.0634642336088,ANT
13,317.0764677257143,314.85613867212277,VER
14,131.7228915194798,126.63456408988041,VER
15,121.57868503644549,121.65316313384803,ANT
16,105.33993489431883,100.25595858979153,VER
17,230.6876149769375,227.1927468418107,VER
18,283.22120336922154,281.5932378260473,VER
19,303.65332514938774,304.41032861234567,ANT
20,314.07729197860965,316.2805423136508,ANT
21,315.5611702057093,320.8707704820189,ANT
22,126.30402593853213,137.28090287888764,ANT
23,199.60627279763924,191.30644878598002,VER
24,270.2404214864198,267.4596231689717,VER
25,285.64999936000004,286.2229168,ANT
