Minisector,VET,PER,Fastest
0,262.0267045347166,255.34620338424608,VET
1,213.94202541396538,202.89763890883842,VET
2,225.458363659015,220.20849360116264,VET
3,264.7493842096451,262.9888953199737,VET
4,278.78377792451397,276.9116482380884,VET
5,232.92407201253167,211.814414536594,VET
6,97.04005135723467,95.82067639559688,VET
7,184.16700098693022,190.8948381774527,PER
8,269.167177511826,272.9160988838793,PER
9,293.673645056876,296.6146557297419,PER
10,301.06536143582116,307.9481080383549,PER
11,299.6387284880922,305.1467174470746,PER
12,113.69374784106286,110.82760039842061,VET
13,218.58928540814628,219.63475788669686,PER
14,277.41213421018773,279.89250270968654,PER
15,296.42810677313105,300.87734950977443,PER
16,232.5229285155148,204.0192086533567,VET
17,126.62449287429,122.19989860324552,VET
18,155.58414353797997,153.93500170843214,VET
19,256.4653527505874,258.49597447032363,PER
20,159.64262812188306,145.50533219795156,VET
21,129.40764528635242,127.86011467310072,VET
22,212.19201556003742,207.41095328335578,VET
23,215.51843412693714,189.49303912658192,VET
24,172.25465418207273,161.53576230450437,VET
25,234.4333312,,VET
