Minisector,ANT,LAW,Fastest
0,297.18727655606455,291.19891309230854,ANT
1,310.01188326015034,303.08404898812125,ANT
2,314.6631424363991,304.76095111495295,ANT
3,181.73795362380045,180.72813162639454,ANT
4,204.86242987908287,210.28396632961696,LAW
5,204.38395980026309,203.69141712761905,ANT
6,268.95614331223675,263.0508179267137,ANT
7,254.2787887040063,250.7677335016149,ANT
8,217.87140725589555,210.83568345783723,ANT
9,212.80641173578545,205.16034696880132,ANT
10,133.8668459143813,146.30605464659521,LAW
11,199.51286277534285,198.95526055588988,ANT
12,183.1113760748052,190.03243926633053,LAW
13,253.35512923396826,251.68751655264705,ANT
14,174.62141927909386,177.8499818053706,LAW
15,231.9185204673016,230.82461830536812,ANT
16,280.721720382585,279.0212765784127,ANT
17,292.2789184986679,290.52352946554623,ANT
18,282.2292292905216,287.4420324405195,LAW
19,265.20253545385356,267.66969555504835,LAW
20,264.17797213776623,260.43497470946505,ANT
21,262.48565120853544,262.21448655053393,ANT
22,228.55169054023463,234.00621638191922,LAW
23,205.55961721303967,203.1042477207314,ANT
24,273.0900421823313,268.36137377309944,ANT
25,290.9666659555555,284.4437472,ANT
