Minisector,VET,LEC,Fastest
0,279.6706956934336,273.94688672422393,VET
1,247.77306091376224,225.2189235360587,VET
2,115.52830572031478,113.3412010585356,VET
3,188.71971629386198,191.8304613865407,LEC
4,184.45662260929674,181.33198851779832,VET
5,211.87487998250157,221.77175104339997,LEC
6,278.0395533826194,276.38389513357913,VET
7,295.6133606781784,292.364552107836,VET
8,197.1575423892449,177.87414064693823,VET
9,130.65167576431094,133.18050250723417,LEC
10,129.33973967400476,134.4107306610492,LEC
11,188.46699422567565,189.30528419314066,LEC
12,228.995156725092,221.36681298079574,VET
13,132.6959165199423,132.8913027779192,LEC
14,161.21646555894876,153.75597777099634,VET
15,118.96343303743292,123.40005492315609,LEC
16,254.3361703889091,253.64693799183672,VET
17,151.72317308959452,146.3227991437567,VET
18,196.1445417362642,203.88971130340119,LEC
19,137.5323671854081,134.2317970826373,VET
20,155.11659345973533,147.27508025421648,VET
21,124.80216050606974,126.44156785443016,LEC
22,139.5253438034067,149.07123671221407,LEC
23,217.31602605128208,214.77385571067538,VET
24,233.01373781560562,229.7415520141886,VET
25,264.2166656,,VET
