Minisector,ALO,RUS,Fastest
0,299.5868653883948,299.60312413617316,RUS
1,243.35014004000598,249.84524529981348,RUS
2,132.5421965414522,132.70031964222224,RUS
3,229.2854608410766,243.30340356772845,RUS
4,191.70286529509298,190.97106979873016,ALO
5,244.59373072298754,244.48109945516705,ALO
6,234.94254979184439,234.26584548949495,ALO
7,256.2880402770881,258.3252460732138,RUS
8,284.07465677963637,284.67109546971426,RUS
9,211.99691318672438,203.00226300903483,ALO
10,208.04073058185728,202.04413207069953,ALO
11,271.3974225252174,272.9902339668783,RUS
12,210.26159003530665,216.75180156495375,RUS
13,251.5499653823129,253.21759208067624,RUS
14,289.12941312574355,289.5134363105102,RUS
15,303.51637290571426,304.0516932469841,RUS
16,299.88990493188214,302.31815140764934,RUS
17,212.31086047353534,217.74314195102025,RUS
18,255.3160158672374,255.44716130766736,RUS
19,291.6758845316306,291.88611145820107,RUS
20,305.2639354424963,306.0225379239017,RUS
21,310.4237500088889,310.106531216,ALO
22,160.1645153916969,157.61212546880034,ALO
23,232.58110951528565,225.40449957161292,ALO
24,284.6630600759596,279.17245533653335,ALO
25,293.00713874285714,289.3104170666667,ALO
