Minisector,RUS,STR,Fastest
0,292.0526970271445,301.6878595440116,STR
1,301.25984269155555,319.8206765171501,STR
2,278.7462572670162,295.48069030647343,STR
3,106.21044486277746,108.54423284930556,STR
4,228.62033505756648,228.20476550464858,RUS
5,271.3281043044015,275.1486798708075,STR
6,218.91942099634102,190.48233595269232,RUS
7,167.2404583627208,166.48199236323637,RUS
8,210.8534078861772,199.6259517598861,RUS
9,213.11521853627966,212.27542411954647,RUS
10,114.78506979902814,115.90322925873012,STR
11,228.47991645462096,221.87373141312023,RUS
12,115.12930637153991,110.58718965730871,RUS
13,225.0617390415794,232.44031270909602,STR
14,274.35166718277435,286.0998321395932,STR
15,223.16756342626448,206.41375563848544,RUS
16,196.0769661995477,204.14507775426222,STR
17,251.51767383619045,243.11697636053592,RUS
18,199.39837556605292,191.53166277568542,RUS
19,186.78173661700322,194.04853760434077,STR
20,265.80260694549315,264.3607220436364,RUS
21,290.34152894569974,288.3793795918158,RUS
22,161.53585379897675,166.71232868977216,STR
23,218.20009750494376,222.21051388330702,STR
24,272.14431869506865,273.4672492292977,STR
25,284.9750016,,RUS
