Minisector,PIA,VER,Fastest
0,299.2296970354545,296.0934237600945,PIA
1,305.6160056532383,305.97052637473683,VER
2,308.62339573048126,310.44483753616163,VER
3,302.19914682539684,302.78299319727887,VER
4,172.91500081574605,173.4882000860805,VER
5,215.51718338686817,209.57909073156137,PIA
6,245.51820669018633,246.24280780650037,VER
7,271.15977745775325,272.48849376752906,VER
8,261.3758834527442,248.99228298008657,PIA
9,169.49386663449354,161.68861902390535,PIA
10,224.8332769341082,223.10889012575518,PIA
11,135.00481511698095,129.6939197782616,PIA
12,232.85445702216177,231.20088956686868,PIA
13,181.08650312622333,175.2952516835949,PIA
14,221.57684891927275,218.73241803483782,PIA
15,249.26826578434898,245.84037477692414,PIA
16,270.74850894857144,269.03144802204906,PIA
17,288.419704892506,290.43328391014546,VER
18,157.9105687597279,150.98598188967372,PIA
19,179.11075612164257,169.5547478252533,PIA
20,143.52062682617853,140.56773020033046,PIA
21,236.037381277308,226.67584162946366,PIA
22,267.7938158135338,266.4093057422222,PIA
23,258.0944134433417,258.58078075409776,VER
24,279.9615820746572,283.65785455808077,VER
