Minisector,RIC,LEC,Fastest
0,273.90329634646906,273.04670895620797,RIC
1,291.1231061818182,292.355043502514,LEC
2,222.7797265736563,228.91036857964926,LEC
3,129.60509225086523,127.4585492260505,RIC
4,186.31332673414,182.1022721314376,RIC
5,124.66590473349699,119.61628147104089,RIC
6,213.8192097924943,210.08002164825396,RIC
7,261.43458124094525,260.8272507688305,RIC
8,184.54098152926682,173.08471544504505,RIC
9,181.3831789468159,184.6323486072646,LEC
10,260.56448713815433,264.6579113562457,LEC
11,189.17923401699045,181.42306400903578,RIC
12,166.945366144053,167.66343888524352,LEC
13,253.99231951765762,255.68502055873014,LEC
14,270.7831631278935,271.7750281769606,LEC
15,283.29563504761904,286.64342427573695,LEC
16,209.0208538381791,199.52580575018732,RIC
17,198.68489606666668,190.29147937513684,RIC
18,245.87942896731923,244.48255351454657,RIC
19,282.33876860289854,281.81466497662336,RIC
20,292.3112251912993,293.2532198787879,LEC
21,197.86924679951605,197.5584381183261,RIC
22,151.09377632581177,148.84563657142857,RIC
23,157.0112500068564,154.67478648526077,RIC
24,228.06815295036475,225.54049814252593,RIC
25,260.8333333333333,,RIC
