Minisector,LEC,GIO,Fastest
0,282.89616201145134,278.38266780630437,LEC
1,225.0196896121905,219.1786042353974,LEC
2,112.96005787010789,115.3496684602634,GIO
3,203.4426747604396,199.80250048000002,LEC
4,175.22314881173043,170.30178563174604,LEC
5,226.6729352626087,226.7913177109605,GIO
6,280.91931316494805,281.1104829291005,GIO
7,296.3399141502645,297.69289022645506,GIO
8,170.58416674370372,170.0214067169139,LEC
9,124.69237088349608,126.349338438199,GIO
10,135.82114998663783,135.88345077895838,GIO
11,197.80151183004097,196.41449988693205,LEC
12,213.2996434140007,210.5953476193566,LEC
13,130.56868998706926,134.08624886048952,GIO
14,146.69977601635665,144.61983827533598,LEC
15,128.803929305831,132.27497498465084,GIO
16,256.17859352,257.1620830933333,GIO
17,143.28660864860728,138.97413558857141,LEC
18,210.38191391648354,207.64225444937213,LEC
19,133.87238571154634,128.2228577296068,LEC
20,148.87303717065637,145.90162969696658,LEC
21,126.75294579820229,123.22961484373768,LEC
22,155.90821524424783,150.0493862857143,LEC
23,224.7355825756347,215.37368295245258,LEC
24,242.33055547936505,236.1434265706004,LEC
25,268.7875008,265.2166698666667,LEC
