Minisector,ALO,NOR,Fastest
0,230.25682617510978,231.86819968288827,NOR
1,280.915880832,279.0918418872688,ALO
2,293.47743026666666,292.14883446349205,ALO
3,297.6470547667537,296.7467391536232,ALO
4,263.5831563941582,264.0022684425028,NOR
5,163.7467311246697,165.62567858604652,NOR
6,257.3901802622111,258.80512174806086,NOR
7,276.9709876148148,273.23141025641024,ALO
8,213.67790678250935,211.87182200702023,ALO
9,216.90694357979797,218.0730972375167,NOR
10,180.4646032744734,180.35035391043436,ALO
11,220.4595939872876,224.58461587631774,NOR
12,199.16576634234235,204.92032892121213,NOR
13,210.3164989840825,212.77749851348912,NOR
14,213.50966721385282,222.6118229862233,NOR
15,181.07945319836526,176.1844968968314,ALO
16,245.80412088285286,253.50333746019447,NOR
17,283.01519021104764,298.2987263861932,NOR
18,293.8820759492921,308.4799782649351,NOR
19,281.9308214574956,295.2791982158828,NOR
20,132.32015645914228,133.40126351206533,NOR
21,156.5374440703773,162.6888211276326,NOR
22,151.1023152254114,153.85194511219575,NOR
23,200.42105704423162,204.91380314366754,NOR
24,145.388197975518,148.87358394332276,NOR
25,182.5583264,,ALO
