Minisector,RIC,SAI,Fastest
0,283.48104149333335,271.92777757460317,RIC
1,309.3124167045055,289.0719905777778,RIC
2,305.20529088677245,291.09581915184305,RIC
3,119.20262288386729,127.1935332479238,SAI
4,208.20316612266666,209.7150908162014,SAI
5,260.420004281499,253.92103240997733,RIC
6,145.21925256617249,142.64181181484773,RIC
7,212.46596961144425,215.3906657706667,SAI
8,260.75291933605445,261.027958210027,SAI
9,279.2737688380809,279.1660088140351,RIC
10,230.19616022382417,242.40194162959907,SAI
11,180.44784934930877,182.68212173490235,SAI
12,202.1822605638501,201.2516070883425,RIC
13,148.9988047079275,143.7242972991453,RIC
14,180.89471272866828,186.57534863017383,SAI
15,168.09304989555926,169.70938902611368,SAI
16,227.12607262575807,228.40632242845152,SAI
17,235.37859750559005,236.990787845805,SAI
18,242.12295419540007,246.36317578492407,SAI
19,232.88008466984127,222.00476181925015,RIC
20,148.2777007291667,149.1583324952381,SAI
21,134.7346939551894,130.52171112665022,RIC
22,179.7213716918689,182.0441661511111,SAI
23,154.07831691160155,154.06429072840783,RIC
24,229.54678761350553,236.0262394031746,SAI
25,256.6124976,,RIC
