Minisector,RAI,SAI,Fastest
0,292.7536416717087,287.6426458352941,RAI
1,127.19251673138412,127.89660534218217,SAI
2,161.4466203296163,147.19467168288992,RAI
3,219.4104203460807,223.99206273015872,SAI
4,159.34122528901324,157.11384160467574,RAI
5,245.55589945902088,243.9224542222222,RAI
6,223.35817887919066,215.3852241939394,RAI
7,138.23458206710552,131.08690341180952,RAI
8,239.35812442666665,232.72290577224538,RAI
9,281.20312466666667,277.9576269142857,RAI
10,290.579167,286.7633747630252,RAI
11,147.7622485010101,144.19147512539539,RAI
12,226.91549570558718,217.82854397097503,RAI
13,276.4264700235294,271.20812813885897,RAI
14,259.31088112592596,288.04305564444445,SAI
15,99.09876051585631,115.12147134736199,SAI
16,223.72465512795927,188.68380562539684,RAI
17,279.38749913333334,264.9793988740741,RAI
18,307.4790075733334,292.0265628,RAI
19,323.2680645985139,305.6971429892064,RAI
20,328.29531736380954,312.95682551873017,RAI
21,294.1463568,307.04908020570673,SAI
22,152.61543743901692,156.64224091954023,SAI
23,238.99999859649122,213.8355104555096,RAI
24,285.9264877883598,271.60741455686275,RAI
25,,288.63333404444444,SAI
