Minisector,GRO,OCO,Fastest
0,283.8154586135642,290.7130440811594,OCO
1,300.56983740641834,312.2587502095238,OCO
2,297.91870595192745,309.34874858666666,OCO
3,182.46021628698008,174.94002740180088,GRO
4,221.79486169799452,219.78045242101925,GRO
5,199.36251957972348,197.6822867024531,GRO
6,192.11163364097698,182.2347939128947,GRO
7,212.15463962167487,214.36508619770115,OCO
8,255.48832677466643,258.93992206492163,OCO
9,259.859600973913,259.28195300206556,GRO
10,177.5412400088033,167.62401127017543,GRO
11,239.49759991411935,242.3513592686817,OCO
12,117.23543660484445,118.1942001078588,OCO
13,227.91014896583513,230.32950488493827,OCO
14,273.74548644444445,279.6886258047444,OCO
15,286.0350423920522,291.44506836462585,OCO
16,207.05909622807954,200.88492356229708,GRO
17,182.22064024601946,179.0484837910534,GRO
18,267.3695132024845,271.0832300766228,OCO
19,291.5376265467537,303.02550980498864,OCO
20,303.66221351740234,316.0425809225198,OCO
21,302.5238095238095,316.0821274526316,OCO
22,264.27320869470554,260.5678175504439,GRO
23,114.2767993793648,114.97214727355686,OCO
24,240.00588321758244,240.869747904,OCO
25,,277.1071414857143,OCO
