Minisector,NOR,SAI,Fastest
0,302.7773359030303,305.99186082805267,SAI
1,230.78187451481824,234.39820599280876,SAI
2,135.63890714124778,126.23451710509003,NOR
3,219.24820695804368,214.83239527089165,NOR
4,264.13890248804233,261.69698926170213,NOR
5,287.14950534253967,286.7988785014286,NOR
6,300.0305273703156,299.94862774179893,NOR
7,276.69231821027074,281.1541964392808,SAI
8,173.23310789082825,169.36078779875206,NOR
9,241.1883994259321,236.43994240533502,NOR
10,274.3091077851429,271.6692595437037,NOR
11,273.7088215051543,260.53889235961907,NOR
12,220.78412440071773,204.8112294466869,NOR
13,132.71382018717725,107.26064943800483,NOR
14,126.5498895607444,128.0507295597279,SAI
15,168.71691884813393,157.39266291873048,NOR
16,126.16280757651872,132.56680355756296,SAI
17,234.4353022576441,228.72416692266665,NOR
18,179.58409553627777,167.34559679370673,NOR
19,161.09130422179894,162.06416193108223,SAI
20,248.94252452562193,246.7964222787826,NOR
21,276.4327765900187,275.2378035743791,NOR
22,291.19774010753247,290.94266072950455,NOR
23,299.9904433038184,299.3095536685714,NOR
24,302.6290102320921,303.1158333866667,SAI
25,304.0,,NOR
