Minisector,OCO,VET,Fastest
0,248.73122927871657,247.02824939266768,OCO
1,200.6736540761905,205.16957291786235,VET
2,201.70262991842364,198.5917946567894,OCO
3,254.94090408285714,248.22534506771734,OCO
4,269.4479825652443,265.0704777971093,OCO
5,281.80427165233084,276.0124241856277,OCO
6,161.60428976083438,159.36916084999342,OCO
7,178.12423460866003,182.76440972584274,VET
8,262.0568248942356,260.5948387047619,OCO
9,289.8025342903319,286.02264561246756,OCO
10,299.3396142670017,296.64345743157895,OCO
11,295.06780045351474,293.980135559849,OCO
12,111.85635922029928,112.65060333611767,VET
13,186.50301040588587,190.50684513651723,VET
14,266.9024708814355,264.39592012985133,OCO
15,292.3272299565756,290.0753103763861,OCO
16,290.73986427936507,290.5164684867725,OCO
17,181.195704483086,178.19008519632024,OCO
18,216.3309499107483,210.78214158114773,OCO
19,258.22427275636363,258.84530746469784,VET
20,155.9119953269112,153.7634915205303,OCO
21,139.78829967520815,136.54104399174602,OCO
22,217.0297744186948,215.6802826264316,OCO
23,226.1504855079587,234.50286539144372,VET
24,161.05777861127893,151.78978377162906,OCO
25,224.9625,220.83888497777778,OCO
