Minisector,SAI,ALO,Fastest
0,229.1635366421578,230.25682617510978,ALO
1,275.9630004906667,280.915880832,ALO
2,288.81529487893386,293.698333056,ALO
3,293.9431819082251,297.59068204870175,ALO
4,264.9101764766338,259.88474278056657,SAI
5,162.06999251215282,165.55705323376063,ALO
6,255.15611252483401,258.183026405256,ALO
7,270.13121690299823,276.9709876148148,ALO
8,212.4943962532213,212.34425230300909,SAI
9,215.30381957174117,219.47487285656567,ALO
10,179.0255325811966,178.24524310355127,SAI
11,220.8711698933155,224.62304473272368,ALO
12,203.68315075409515,198.0310816864865,SAI
13,216.74639062235835,207.8302766789691,SAI
14,222.6770623641207,218.52443999769122,SAI
15,174.74262648888887,178.29893958165772,ALO
16,240.78435893578413,248.03703746951953,ALO
17,276.5955480015238,283.7455236510476,ALO
18,287.52883031718426,293.8304595566537,ALO
19,281.21047476419045,275.4031977932981,SAI
20,129.97738987645675,130.6649293270211,ALO
21,162.90177650817841,149.8817816647471,SAI
22,151.54559111885726,161.3761930275474,ALO
23,201.6265467019567,192.52642621754384,SAI
24,145.82099657797957,146.67148713991278,ALO
25,180.46666666666667,,SAI
