Minisector,ALB,RIC,Fastest
0,251.64184773118714,250.4371454697299,ALB
1,281.04874976,278.90870206258506,ALB
2,170.65871551190784,160.38526574163728,ALB
3,169.01328753909024,162.5754941470231,ALB
4,259.37009342466865,257.4213544888889,ALB
5,271.02642048484853,263.05132495930735,ALB
6,221.31280880987654,214.42109733474427,ALB
7,206.47068453333333,196.22455992510203,ALB
8,159.710421171451,154.61197094280092,ALB
9,223.33076885567763,220.85216946128037,ALB
10,271.72925449555663,274.36845277460316,RIC
11,125.74000136535184,126.24345619084444,RIC
12,219.99223967266315,214.72645099024612,ALB
13,273.93698688765613,269.9748382337662,ALB
14,291.849574770068,290.31187170567455,ALB
15,293.15500000000003,297.9092040471151,RIC
16,222.64221794426808,215.66108676163878,ALB
17,137.02163782059066,134.76179448897818,ALB
18,141.63583151716816,135.5713109928383,ALB
19,124.44586404265984,121.38480430087463,ALB
20,230.8581732923077,221.48664667637877,ALB
21,258.6223086641822,244.59647108373125,ALB
22,230.81385096202584,224.06250153846153,ALB
23,215.59027299837126,208.09758854275492,ALB
24,147.88361253578114,144.8219808,ALB
25,,223.66666666666666,RIC
