Minisector,ANT,GAS,Fastest
0,285.42989293252526,278.06292610612246,ANT
1,292.72037033086417,299.0,GAS
2,244.97873723980186,234.4683008671605,ANT
3,122.99466022552889,120.19675977895638,ANT
4,127.62331136595566,131.30906031501857,GAS
5,252.04480089216932,240.59986553034014,ANT
6,268.7164326189899,237.29128039415875,ANT
7,126.39144341642158,130.12546128467704,GAS
8,250.3817781516883,249.0495533632834,ANT
9,256.4795269953674,250.89673545256198,ANT
10,214.6340009756499,209.80856711085713,ANT
11,151.7047285736341,139.0373745794294,ANT
12,194.26945464224664,204.91717025800764,GAS
13,255.6774873568007,252.51030215453417,ANT
14,124.1788180416055,112.11614428507959,ANT
15,180.7658730414781,196.6577557611789,GAS
16,261.13108808347823,271.09237978261876,GAS
17,309.59850519293445,309.5103140919728,ANT
18,319.8139353952153,322.6905080470588,GAS
19,313.5972782667862,325.4715789922807,GAS
20,307.87177228590826,321.1198528941176,GAS
21,218.5970792347386,217.19367444482376,ANT
22,134.97387323942888,121.96814203917137,ANT
23,191.01165446619072,188.93842887777777,ANT
24,236.07383971878494,225.3764500240355,ANT
25,275.26000128,,ANT
