Minisector,PER,OCO,Fastest
0,306.3261905710053,304.2915366777778,PER
1,210.69279362044983,212.10291477911503,OCO
2,136.44185057324535,135.7200011888285,PER
3,217.74559006407196,216.58252248443682,PER
4,152.3268646047916,152.95656217658046,OCO
5,171.74237594409277,167.98179017111718,PER
6,249.8039828088889,248.22182603174602,PER
7,277.98624473565405,276.8336887156922,PER
8,287.76676489680676,283.32366067142857,PER
9,264.69729106666665,265.5215087172789,OCO
10,244.1464697000055,244.13775458580395,PER
11,243.99836487619046,240.7921613710438,PER
12,210.15917530848316,214.48475373396303,OCO
13,134.24288029984243,134.1800048955989,PER
14,143.24268536154008,141.5195705791374,PER
15,175.86200478620705,173.0151604290043,PER
16,254.78221137347867,248.02058841292614,PER
17,238.58741322666665,243.90467987554433,OCO
18,109.90539307580396,113.85878051636364,OCO
19,192.8183142505301,188.98278960430252,PER
20,189.38344976143,193.71736064190827,OCO
21,231.3921449772171,229.38526546609896,PER
22,271.1555288751839,263.4409209022092,PER
23,296.95230354043235,282.39010378,PER
24,313.5664732025308,295.02474800223945,PER
25,320.5875008,300.0,PER
