Minisector,ALB,STR,Fastest
0,249.80088751599618,260.7287768101793,STR
1,130.64111365027728,128.24329429115056,ALB
2,264.56881754190675,265.20868301626257,STR
3,305.94715106938776,306.3122363919022,STR
4,304.3472700689655,304.6444170906911,STR
5,311.9469708897544,313.5182978298319,STR
6,316.6705246814815,319.2174383506173,STR
7,318.8656140555582,319.0154661996499,STR
8,199.8771247934321,191.29624959997665,ALB
9,194.02320238324137,191.08654149760767,ALB
10,180.21413009500517,179.86765101122973,ALB
11,164.61379075649114,163.04624736087464,ALB
12,251.05082772888758,252.69998324760138,STR
13,275.2844002049686,283.094834244287,STR
14,276.7733460955912,279.4476200834917,STR
15,270.8903654,274.3155600048781,STR
16,185.43924297037404,181.853613136085,ALB
17,191.1194368308087,190.36906937876242,ALB
18,240.42896396154907,236.29407283092635,ALB
19,285.88267720027716,286.50818334307013,STR
20,307.8691421009509,310.9854811026224,STR
21,315.10721169729743,318.4273955510296,STR
22,309.83412915016976,317.44315478095234,STR
23,252.79503883784204,264.6714478159273,STR
24,115.3530103773759,111.21628328701024,ALB
25,,231.537504,STR
