Minisector,LEC,SAI,Fastest
0,279.52151331787036,275.8292324088259,LEC
1,297.35149384355435,295.23889148380954,LEC
2,239.7331184327292,229.75098537295543,LEC
3,111.31612931935679,116.44378609097477,SAI
4,125.4054243210948,124.9896592298861,LEC
5,248.08890140395258,244.6491514788978,LEC
6,253.45526120128707,254.28226429746866,SAI
7,120.8774315091656,122.772601360339,SAI
8,243.64512290250525,239.84027066311393,LEC
9,250.34399900711375,244.1323772694588,LEC
10,202.65520137937168,208.14215936487838,SAI
11,137.63609747780376,139.56938327021382,SAI
12,202.0863233763775,192.14751927750893,LEC
13,262.9336039797447,258.3365314089546,LEC
14,112.10544826143904,113.65603725237294,SAI
15,183.04068681124093,176.10928618533742,LEC
16,253.71062310466039,254.29807916848685,SAI
17,286.3155109323851,284.67556010015585,LEC
18,300.5506414409035,298.6996458506266,LEC
19,306.8629934736842,305.61225396262245,LEC
20,309.677027792,309.4442274111111,LEC
21,152.3887554490773,180.3158755807125,SAI
22,145.7398789720864,144.70234286810373,LEC
23,196.63056036596643,195.32301116477882,LEC
24,233.00245724458497,225.45326521595564,LEC
25,264.4,261.4766673066667,LEC
