Minisector,HAM,RAI,Fastest
0,270.8182254730159,275.31552145651483,RAI
1,292.7723584059321,298.27236828070176,RAI
2,301.8255024453637,306.48915673162696,RAI
3,134.6069783126121,126.53954240171126,HAM
4,197.41291843280325,194.60536993068646,HAM
5,255.58313508571428,258.2711177287982,RAI
6,148.48861282529282,137.75555003895445,HAM
7,210.33792775923808,198.98857498021977,HAM
8,260.36854956658766,257.4139570294161,HAM
9,279.21204590018556,284.3891666133333,RAI
10,239.50102949869074,220.80024697071212,HAM
11,191.4472761391232,178.91923159661923,HAM
12,190.02778433265973,190.27050828695258,RAI
13,152.17819967219327,146.93256082705594,HAM
14,183.88207820125902,175.56156206344693,HAM
15,169.20914475924343,159.85292389467787,HAM
16,217.91182566893292,214.43124787427357,HAM
17,236.1103123382246,232.0012431900621,HAM
18,240.14561855303782,230.18922875095484,HAM
19,252.3624993015873,241.21938508985508,HAM
20,147.79175449851698,139.59611748955564,HAM
21,141.41706228268018,131.95393506713123,HAM
22,172.88393441254547,172.71861222077646,HAM
23,157.4768307434736,145.3762530894097,HAM
24,230.0600529183158,230.9911938538022,RAI
