Minisector,RUS,MAG,Fastest
0,293.25854158933333,292.38270393564335,RUS
1,305.2180201231614,301.8495505676191,RUS
2,309.18402880802006,303.9126334667342,RUS
3,186.92295432344125,189.37337990231532,MAG
4,210.27849195936508,206.41183046875614,RUS
5,206.59298290796255,202.45614101482153,RUS
6,264.9310512971705,263.93540349213487,RUS
7,260.1274683841833,253.82441685435117,RUS
8,216.94938540259741,205.2304541926811,RUS
9,210.66698212633202,193.6972653378055,RUS
10,137.47047175059296,147.03984972538336,MAG
11,204.21833355419815,187.74426852448013,RUS
12,185.421186590823,192.52752404735617,MAG
13,254.81558725587303,255.39906145365535,MAG
14,180.63793950517373,179.00425134049206,RUS
15,234.00316771555558,236.3590635498706,MAG
16,281.21952689975075,281.670267928658,MAG
17,292.1419586213152,289.95594387079717,RUS
18,284.89121173399224,277.81147681391303,RUS
19,267.4597224622222,262.04972403571765,RUS
20,266.3746565643699,260.20672036048086,RUS
21,260.24735051993076,257.45636344752296,RUS
22,249.91032955897842,226.59474277162826,RUS
23,208.7605987525199,203.74272580658308,RUS
24,270.2614999395692,269.09329351053026,RUS
25,285.5,,RUS
