Minisector,VER,SAI,Fastest
0,291.2260420266667,300.2039468350877,SAI
1,304.77745104313726,311.336896512207,SAI
2,183.45938686701328,158.28917474818005,VER
3,226.69010484444445,216.3421433910006,VER
4,274.47421447271716,280.1072324223113,SAI
5,292.2787282526316,307.7268904156863,SAI
6,299.7907408,320.18918408161437,SAI
7,202.27392334038538,187.7801285661777,VER
8,125.23999189900331,114.22544553146636,VER
9,249.0924606984127,255.00595144126987,SAI
10,284.941009122807,301.80622779325654,SAI
11,302.1543859649123,320.222058854902,SAI
12,160.25371482597401,147.1016677890796,VER
13,192.2826447564626,190.66700489217405,VER
14,258.99333942131517,256.13988058412696,VER
15,217.30849928533334,207.26063270503408,VER
16,227.02807966497895,221.29687426666666,VER
17,221.95190915555554,218.6490843594759,VER
18,244.87959913584262,244.35703754084395,VER
19,277.3180140992481,277.8026312421053,SAI
20,295.9685186962963,288.61828705185184,VER
21,273.7915589561059,266.4519000090703,VER
22,235.7531050600414,232.60212264679086,VER
23,214.09608528058607,206.88990047143173,VER
24,270.89904083959175,264.5997160562358,VER
