Minisector,PER,NOR,Fastest
0,273.1947756213585,274.75472158776336,NOR
1,292.6224779916458,292.9058367216971,NOR
2,291.204457536859,292.803332418355,NOR
3,186.66875511652503,169.53534308098514,PER
4,117.66081871267777,116.98481762666768,PER
5,230.78775488501347,233.83825422593856,NOR
6,275.66565276389053,287.95131092487094,NOR
7,290.8700690406926,303.2100790707644,NOR
8,180.65462873732338,168.38659207687687,PER
9,138.5773910115855,135.35426136140646,PER
10,243.6480076736,245.05446676135824,NOR
11,282.54904544548054,285.3954384484941,NOR
12,295.32578304057233,291.34082536098356,PER
13,280.4632816498147,266.56930057200776,PER
14,294.80364828988064,288.3774294634243,PER
15,301.1834719464048,291.47221584290384,PER
16,252.8182141448294,239.53590786851214,PER
17,216.5358076576784,217.83239925927185,NOR
18,270.727070010694,279.8767297423378,NOR
19,294.77741650723976,312.7101378988404,NOR
20,304.7525985951065,318.044950820202,NOR
21,231.08339286228548,226.3022068921854,PER
22,250.67931258590622,256.4103174163597,NOR
23,139.92274298145225,130.97273470002665,PER
24,209.4927037853865,215.15946915907745,NOR
25,,256.9249984,NOR
