Minisector,ANT,LEC,Fastest
0,303.40013156432144,299.6785267502607,ANT
1,200.73280605710588,191.4673744987434,ANT
2,211.9803595813691,218.3372641270405,LEC
3,273.84743681940415,273.28464599801055,ANT
4,247.5720305346351,236.55129690749007,ANT
5,125.27770809862604,124.44667960397764,ANT
6,199.79885257711655,201.80058968644607,LEC
7,231.9612955716336,247.17136313937817,LEC
8,216.00567024063295,224.6693765356395,LEC
9,222.66496271157175,232.3896688295279,LEC
10,270.9632211274643,277.84360075382773,LEC
11,290.872402697984,294.53708535623286,LEC
12,304.9083959899749,299.65527203821995,ANT
13,321.0353279235396,302.3037481186603,ANT
14,328.54428575193276,303.9789114741703,ANT
15,223.774064262657,235.58105246773096,LEC
16,229.18534740076677,224.5825942054327,ANT
17,280.52925806887873,272.3564989144616,ANT
18,303.5206765142703,289.21784513275907,ANT
19,142.54614688756413,132.97594698960293,ANT
20,190.85714113891026,188.56017402048874,ANT
21,190.94376727401223,140.3245940309767,ANT
22,133.12905487131036,145.94762988375632,LEC
23,231.60654497948914,248.52721395821084,LEC
24,294.3894883126207,298.4187578058981,LEC
