Minisector,VER,RIC,Fastest
0,290.65655696891406,282.59905127961474,VER
1,152.8262709780882,157.94177584017072,RIC
2,145.69908944486187,137.68649699120718,VER
3,222.20340254866412,222.22356587735314,RIC
4,284.56543081588933,280.200170109899,VER
5,290.8691371466133,285.7163952445179,VER
6,139.683844470691,143.34478926453826,RIC
7,139.5011044383045,138.61637713525798,VER
8,140.31170779716078,138.8883145992908,VER
9,184.44719994682757,179.11422288444783,VER
10,125.70033499083848,122.5450103257572,VER
11,119.94640462825227,118.13927382793786,VER
12,165.06338934378786,160.0421192793151,VER
13,267.14419325985386,263.21624258595955,VER
14,289.67635120380953,283.5018571291428,VER
15,152.03823229490717,139.15316189279002,VER
16,205.31495545279031,203.56143779103377,VER
17,172.7003700972978,162.58844517335172,VER
18,272.47823107291947,266.6442954848935,VER
19,296.09618929291923,289.5359427169524,VER
20,311.4244211920131,302.55644923388667,VER
21,319.2925917233812,310.761499968,VER
22,321.6877273134545,313.35877191111115,VER
23,322.81648246729446,315.6158497453718,VER
24,323.84659089454544,313.9447166461678,VER
25,324.21500032,308.0,VER
