Minisector,ANT,ALO,Fastest
0,320.17039247686273,319.47064567617963,ANT
1,323.9419358127242,322.8364601234286,ANT
2,161.66640293208158,181.5941408181406,ALO
3,159.3477954855914,147.78999402764978,ANT
4,194.22609011343448,204.54653540700602,ALO
5,149.63467008977483,146.12866570439084,ANT
6,206.2544232442081,194.57108358687628,ANT
7,272.2895687169925,263.24818906890755,ANT
8,289.70368407578945,284.5064890971429,ANT
9,278.7137072643386,277.18258975108387,ANT
10,237.6182143674459,231.35251321263158,ANT
11,247.2904793457733,233.82344937172542,ANT
12,225.8861210427211,214.50197796629675,ANT
13,185.74964730166656,193.50316120137143,ALO
14,138.70634719798144,137.23752002499512,ANT
15,133.41608617363485,134.77201747090464,ALO
16,197.29916379171726,167.7163656759447,ANT
17,269.4371289502786,250.09211438565194,ANT
18,198.93589049263156,265.7578946694737,ALO
19,110.09296360173407,118.44853018274462,ALO
20,206.67161573714284,167.89654679286937,ANT
21,183.42452413714287,187.40914244773822,ALO
22,245.73947459368424,204.78479330666667,ANT
23,278.96621904792937,263.025723208289,ANT
24,310.16656978225956,291.9827604331381,ANT
25,323.76500096,305.44314856296296,ANT
