Minisector,LEC,RUS,Fastest
0,244.58050756079123,242.6475984644217,LEC
1,274.3050996065095,271.7682535908358,LEC
2,177.31570608395793,177.92496771008368,RUS
3,163.08553536217426,153.6044573589817,LEC
4,256.4112827265651,256.7857955522078,RUS
5,265.9903984995904,268.8202632489337,RUS
6,222.95360910197303,228.71498244962962,RUS
7,205.3058414180405,209.10514827886553,RUS
8,158.34023582361914,161.17687241508645,RUS
9,214.17597473947612,215.02053282962498,RUS
10,270.1240573526837,272.2511966672811,RUS
11,117.70456601837603,123.49083062431235,RUS
12,206.39747350831752,210.6568851446276,RUS
13,268.7803976748052,269.38707160076194,RUS
14,289.8003620001606,290.03635443232326,RUS
15,298.0681156030075,298.44880952380953,RUS
16,238.71728006912215,239.25727372200635,RUS
17,134.44313439345186,134.92065313486583,RUS
18,133.96525474855176,137.43766425956355,RUS
19,125.96158991075285,121.88304234466048,LEC
20,219.7570021936762,226.72688893629632,RUS
21,252.0471511185185,258.31163120765217,RUS
22,228.34791683583998,235.1164793457846,RUS
23,208.336041874251,215.5861709180644,RUS
24,136.17571481055944,138.56619190932403,RUS
25,,210.20000426666667,RUS
