Minisector,NOR,COL,Fastest
0,291.6560317647452,288.735670447257,NOR
1,160.32948720179385,159.8198077132678,NOR
2,161.86212728957534,164.68822776041006,COL
3,242.16718074829933,239.32608511028297,NOR
4,263.8439014421211,274.6907522668078,COL
5,243.06794479177145,234.7279739305864,NOR
6,212.76715344808625,203.43566772777737,NOR
7,143.87759967532182,141.2225279848394,NOR
8,225.9912351541195,224.65596442680135,NOR
9,298.4259583670408,297.5340961790087,NOR
10,322.78619625574424,320.056823629734,NOR
11,323.013837449266,321.459765692731,NOR
12,315.28897467915516,312.97555559223986,NOR
13,310.92537790075187,307.64164995277844,NOR
14,126.88892510833286,135.54976749734874,COL
15,117.5039051461619,118.71667236738578,COL
16,97.7324261022334,96.03714946127765,NOR
17,243.08869470158433,233.71719879274107,NOR
18,304.53501288314624,301.278651922963,NOR
19,325.84803313662337,318.1211837628015,NOR
20,328.3413827419827,314.3273941807408,NOR
21,323.14664946262627,310.85976217620646,NOR
22,128.0227054106298,122.16500904376345,NOR
23,198.83322714242013,181.8276947037984,NOR
24,276.47344390115245,271.0563972918441,NOR
25,,282.71874986666666,COL
