Minisector,NOR,RIC,Fastest
0,274.4910276063492,275.4492542125004,RIC
1,294.77466958444506,296.0349047649524,RIC
2,290.74183325866665,290.59625394711196,NOR
3,187.24597082143208,175.91100591498258,NOR
4,116.46859981529934,114.64147088248332,NOR
5,236.33888330603816,234.10297840531376,NOR
6,280.82126390165325,278.7331728,NOR
7,291.3691522778594,284.8552472888889,NOR
8,178.59179489780294,177.39938421165832,NOR
9,135.98546489620603,138.67095790228063,RIC
10,248.63499606567473,248.7169535632184,RIC
11,285.7297694479168,287.25014326607453,RIC
12,297.5765556398268,296.72086732823027,NOR
13,279.56002635152606,285.2597299106227,RIC
14,293.51311912228573,295.15711429406144,RIC
15,290.8768128857515,291.8878573714286,RIC
16,243.07177386666666,254.906358833937,RIC
17,222.94086796493286,225.4241157171717,RIC
18,276.171191964921,273.5213825596301,NOR
19,295.90356755875257,293.79230941257146,NOR
20,294.70524460485495,301.4939999573333,RIC
21,227.37382175834648,232.4732404379936,RIC
22,253.87126664247646,253.8269545715027,NOR
23,136.9243204977607,137.75593946276354,RIC
24,210.04080580988557,206.42363048542396,NOR
25,256.2875008,257.16666666666663,RIC
