Minisector,ANT,SAI,Fastest
0,273.63157894736844,273.71718495731096,SAI
1,125.15070808820809,117.47268617821754,ANT
2,163.55902871075284,159.12643915299103,ANT
3,206.5597866419295,199.67716601916206,ANT
4,174.28955314009661,157.06010749392777,ANT
5,238.5459001782531,236.96288882766143,ANT
6,208.619099378882,201.57877976990477,ANT
7,138.20876176510467,137.00495610291563,ANT
8,248.21969507101088,247.17142857142858,ANT
9,285.17712053571427,283.97392075712247,ANT
10,282.8267448849713,275.0784627264123,ANT
11,157.96724644403216,149.47967268733768,ANT
12,225.86421141134002,233.9362837654357,SAI
13,279.1001400560224,277.962248535778,ANT
14,258.32450980392156,230.16870563008797,ANT
15,104.61468896156924,103.42890634131274,ANT
16,236.26248487102194,236.7521593679285,SAI
17,295.91898577612864,293.8941592261905,ANT
18,313.7619658119658,310.84719010282583,ANT
19,322.8232353338562,307.7653206168831,ANT
20,325.64930555555554,302.04087089381204,ANT
21,297.09236633249793,234.5297740188132,ANT
22,159.61681983427872,160.35004930801244,SAI
23,244.00773809523812,252.60091522163916,SAI
24,283.2798941798942,278.75191371146303,ANT
