Minisector,SAI,ALO,Fastest
0,296.40844899626666,293.5243058984127,SAI
1,247.19283724065775,245.80044673094017,SAI
2,202.1483119281187,194.3479512859896,SAI
3,265.2546011677748,261.8579172644571,SAI
4,224.90303415248002,220.98330215258093,SAI
5,112.81646939970963,111.04566608438489,SAI
6,182.2624645782728,168.44020283426798,SAI
7,257.91277995191916,253.50269849070295,SAI
8,288.9770473514976,286.75654244924885,SAI
9,303.5629129292191,301.3523717183626,SAI
10,307.9305989448373,306.39659040991734,SAI
11,236.12419581845117,234.595664608,SAI
12,142.9440665335115,139.25190063358923,SAI
13,252.60819982984125,253.11547830902433,ALO
14,288.1521044990407,287.7911584418201,SAI
15,300.0735921608834,297.4898010791919,SAI
16,299.67843274949496,287.7006660928974,SAI
17,264.6083574634667,252.19628195912458,SAI
18,192.45399412793537,179.39760381062956,SAI
19,184.1135171175066,173.57319102940812,SAI
20,174.65468429329235,183.68542466998323,ALO
21,246.95771630032786,238.58451487831834,SAI
22,123.15647654437119,114.24787263742705,SAI
23,194.91547870758612,195.73323784063658,ALO
24,274.27146015073174,272.76961562875266,SAI
