Minisector,LEC,GAS,Fastest
0,284.49385798787876,283.73920494545456,LEC
1,298.95940024037424,298.1104165333333,LEC
2,305.0720237714286,303.6355159873016,LEC
3,306.30228174391533,307.01666672,GAS
4,251.72498964858826,255.37682426817858,GAS
5,190.7471384872504,187.94938814175381,LEC
6,254.19799892710805,255.06790967708022,GAS
7,280.516581478458,281.04020112384,GAS
8,207.51532889150013,202.96555615999998,LEC
9,207.16728241777778,211.80782029119413,GAS
10,140.9541609267607,139.23695772666392,LEC
11,245.00716620799997,243.73455201309852,LEC
12,273.6299735266264,274.2624815143143,GAS
13,217.93097389387756,219.0196739006084,GAS
14,262.1726545298183,261.969047115528,LEC
15,224.37299543703705,228.89342680493826,GAS
16,183.2696143665773,177.81286676078432,LEC
17,257.013431347412,255.06778734480937,LEC
18,154.99825667677194,148.75885328120657,LEC
19,207.3268485170068,205.23848362479518,LEC
20,269.44986481928515,270.2323048380952,GAS
21,288.8626983111111,290.81439890942613,GAS
22,162.83414537735248,159.31071520423282,LEC
23,178.8581929859944,177.90310585463735,LEC
24,257.0132256989863,256.5094208162519,LEC
25,,275.72500053333334,GAS
