Minisector,RUS,OCO,Fastest
0,304.6183903554019,320.6057869748148,OCO
1,238.07478095853776,196.31306079179487,RUS
2,138.9825294701376,146.08284648998168,OCO
3,224.03153418852463,215.0227404335601,RUS
4,172.41265335721167,158.77600148999574,RUS
5,171.37311462737253,186.73517828604025,OCO
6,253.43584973565768,255.18247536187175,OCO
7,281.01513286989933,279.8146822506205,RUS
8,288.8030748406417,286.13959568941175,RUS
9,260.3874786277477,264.3495553185185,OCO
10,245.97462988248353,251.28728279111112,OCO
11,242.05880067389867,229.78164674165413,RUS
12,215.37958690701794,196.52017006083543,RUS
13,125.8055824068138,125.68186289258433,RUS
14,140.99464350598444,133.71858465735448,RUS
15,169.6489257720656,190.18027524435638,OCO
16,245.90446358687828,262.0489841082707,OCO
17,241.131653258836,235.9575435587417,RUS
18,114.6105854647595,110.0676132353838,RUS
19,196.3378884846804,201.90364349930778,OCO
20,201.11606880883718,197.06330129230767,RUS
21,238.29884276680272,239.73578989640737,OCO
22,268.81957683595476,277.0141106793651,OCO
23,286.4622395733333,298.29374577069746,OCO
24,298.66953865904765,315.86302320798035,OCO
25,303.33249983999997,,RUS
