Minisector,LEC,OCO,Fastest
0,263.4322802365915,259.0615076266282,LEC
1,278.842438330005,276.405231122963,LEC
2,284.0041207851313,283.6512952013427,LEC
3,135.02600406235544,129.05535885976903,LEC
4,187.70623632539363,184.28932850285716,LEC
5,251.92085026184128,248.94632237176472,LEC
6,139.43841607846284,134.95619203779805,LEC
7,217.64575484952383,196.8400162761483,LEC
8,255.31718365579832,251.89493943314287,LEC
9,275.6696048617544,274.54803497116126,LEC
10,228.95377779402057,224.61077476963922,LEC
11,176.61188423506172,175.0732023369697,LEC
12,190.08567519006735,182.47696464755282,LEC
13,136.89634170683158,138.941198509418,OCO
14,173.65543643260384,162.8792140135743,LEC
15,156.9004830996682,148.04994470126843,LEC
16,212.0465218634383,208.45718133541124,LEC
17,227.4888662349206,226.71439872358914,LEC
18,237.0043501159301,230.36424930763752,LEC
19,240.24048957540518,233.80974461008816,LEC
20,143.49662866010152,139.54691838973548,LEC
21,138.87122782561826,134.81196795009757,LEC
22,163.68599605255275,156.58403307760685,LEC
23,147.86212461067424,141.59723042231323,LEC
24,224.46521673015874,219.0445765089524,LEC
25,,247.4249984,OCO
