Minisector,RUS,NOR,Fastest
0,292.0526970271445,292.3000334307318,NOR
1,301.25984269155555,302.54592622336156,NOR
2,278.7462572670162,280.5598541021645,NOR
3,106.21044486277746,110.54535735133659,NOR
4,228.62033505756648,224.09286912187002,RUS
5,271.3281043044015,272.6771638366874,NOR
6,218.91942099634102,219.53158755185953,NOR
7,167.2404583627208,166.88704640226774,RUS
8,210.8534078861772,211.9420670218404,NOR
9,213.11521853627966,216.88779070753822,NOR
10,114.78506979902814,118.15915416227828,NOR
11,228.47991645462096,230.80974639519147,NOR
12,115.12930637153991,116.55701626454102,NOR
13,225.0617390415794,222.24922273383436,RUS
14,274.35166718277435,275.96802135533756,NOR
15,223.16756342626448,229.89273447682538,NOR
16,196.0769661995477,192.82608198448202,RUS
17,251.51767383619045,253.136899478536,NOR
18,199.39837556605292,211.4428187928012,NOR
19,186.78173661700322,180.76652702903633,RUS
20,265.80260694549315,263.31541715724865,RUS
21,290.34152894569974,290.27937866447206,RUS
22,161.53585379897675,170.08077976019098,NOR
23,218.20009750494376,210.17822886884628,RUS
24,272.14431869506865,273.9543774249727,NOR
25,284.9750016,292.0,NOR
