Minisector,RUS,GAS,Fastest
0,278.02680203290043,293.3296253631862,GAS
1,295.19748503279527,315.81542425767407,GAS
2,289.3108656278021,304.0803644062338,GAS
3,174.3019174037694,176.4275828362056,GAS
4,206.3693723213708,211.5541738722033,GAS
5,189.57093236061957,195.98405565622323,GAS
6,168.8527140992386,171.45710993054308,GAS
7,195.52300764767458,198.46563091559378,GAS
8,246.59507312306985,251.57295169145166,GAS
9,260.20811612854806,254.910201666023,RUS
10,170.2924014142477,165.357422216895,RUS
11,225.28269324518135,230.0766936483528,GAS
12,110.27266243215136,113.19049568301267,GAS
13,208.36032142665672,217.63341345182064,GAS
14,270.2987221936041,275.16965975983436,GAS
15,288.04589216205943,285.7009092654546,RUS
16,212.8931723124301,208.12228196232806,RUS
17,178.65589275402758,175.17867573410646,RUS
18,262.57237158764474,261.9545964675132,RUS
19,288.393114170818,288.6426789117924,GAS
20,300.3128292360784,299.9453903044596,RUS
21,297.2564956145946,302.2117532633766,GAS
22,265.4915019288585,279.0609382541759,GAS
23,114.90054183007102,111.73524017699366,RUS
24,229.58206894721775,229.22012627549086,RUS
25,,265.52031239999997,GAS
