Minisector,RUS,ALB,Fastest
0,241.16573698033795,245.06040196958924,ALB
1,272.17831581698164,281.22878684807256,ALB
2,172.84490319314224,177.35142212942455,ALB
3,147.18533665745622,146.9056060241542,RUS
4,255.94604492395385,253.76784580011292,RUS
5,267.30865057391304,263.1973571807693,RUS
6,237.574839315873,211.22759863251233,RUS
7,215.88528477586394,193.84522532437876,RUS
8,157.90070193396664,152.53492878312247,RUS
9,214.8230856449261,216.61300152272108,ALB
10,265.78557703634175,272.2623405444619,ALB
11,120.88305769547483,116.64744313836056,RUS
12,203.4315726604345,213.6546014134647,ALB
13,266.6092275912304,271.5926754276429,ALB
14,286.0714690835088,294.1232499229091,ALB
15,289.76995758814815,301.8042222222222,ALB
16,238.4344063195617,210.9435790713337,RUS
17,132.36242656349089,131.1338423541456,RUS
18,134.53165562939037,131.44174615026455,RUS
19,121.40993494096529,121.62382174137025,ALB
20,226.62669041140933,224.35564393939396,RUS
21,254.79541449722407,251.4423048508393,RUS
22,246.04744914839827,217.7213617123617,RUS
23,222.55460974398773,196.4429098180529,RUS
24,139.80338197525967,136.39295496661126,RUS
25,211.82499413333332,,RUS
