Minisector,BOT,SAI,Fastest
0,327.9732138320347,316.29311873469544,BOT
1,340.5954646058957,323.9634056347826,BOT
2,344.20439683780097,327.33134923174606,BOT
3,206.48578203346202,207.49878666008064,SAI
4,115.14234495541889,113.9108594738495,BOT
5,265.9486485235215,260.95406741105575,BOT
6,301.1152168811594,296.89105697315927,BOT
7,311.3081520231884,312.9461228363978,SAI
8,279.0475345382716,286.43341108603477,SAI
9,139.91546375384615,139.49584542923523,BOT
10,219.67139000702593,219.13838448484847,BOT
11,208.5343473927171,209.42880730768098,SAI
12,191.00683265824966,193.9028568554648,SAI
13,266.92239716684304,263.3764104522046,BOT
14,301.25424112332763,299.54097204444446,BOT
15,311.82536217971017,317.4184028444444,SAI
16,272.2109422544832,260.34008150687833,BOT
17,195.20198307724866,194.6898760860339,BOT
18,267.80642064146366,266.03241401796123,BOT
19,306.28768055652176,300.1006431291375,BOT
20,316.62826073043476,316.24202879999996,BOT
21,308.87777964444444,305.9772760652398,BOT
22,203.89858358755293,200.91011885714286,BOT
23,261.7476692575897,260.42356035389787,BOT
24,305.501999104,297.58190439619045,BOT
25,319.3833322666667,,BOT
