Minisector,VER,PER,Fastest
0,304.4366204325926,306.91494789666666,PER
1,230.39292127189248,237.26218712874294,PER
2,130.12102893409525,128.73528539247167,VER
3,208.8888770874123,217.59777019647427,PER
4,262.05118551859647,259.7549222518822,VER
5,286.5388513276552,291.4814072927731,PER
6,299.66558875763735,311.78066309224494,PER
7,280.5951806577778,259.47112756108265,VER
8,171.76714071630522,167.32219217529138,VER
9,238.82368589784394,241.71124882851387,PER
10,271.09287949602697,268.2773692990476,VER
11,268.4260522964974,253.28184844734423,VER
12,221.03211649477635,202.99408642534215,VER
13,124.88433515597771,118.76962444637465,VER
14,126.57480787436354,125.25897118496782,VER
15,166.9280557203246,152.21925189365749,VER
16,124.14104517493735,129.58546738848287,PER
17,229.03514652767674,228.8414611011338,VER
18,183.42696148986695,145.9808227177642,VER
19,162.68438064744586,169.18610894222223,PER
20,245.87357417760504,246.40930632917085,PER
21,273.302208380382,274.58697414349206,PER
22,289.0044190574956,295.14786848904504,PER
23,296.77246746771243,312.07936486603177,PER
24,300.9350084454902,321.40401152115436,PER
