Minisector,GAS,ALB,Fastest
0,279.0190717005437,284.6619971047619,ALB
1,296.0578094994286,303.1748266222222,ALB
2,292.93116175223037,297.92567135710294,ALB
3,174.22322783182221,168.35976885005746,GAS
4,123.91189905385647,129.3668791696339,ALB
5,237.11874342708427,244.5395462599863,ALB
6,280.37546196067586,283.3052033012194,ALB
7,290.1947539949604,287.94228517790475,GAS
8,184.87167857605627,187.38941330988297,ALB
9,146.51906530391017,152.0763385291583,ALB
10,255.4180232390258,259.61796339583555,ALB
11,290.44993571000504,293.5102610540241,ALB
12,302.07151254219576,306.3568573238726,ALB
13,284.86586596628086,289.2037110211347,ALB
14,293.7316757555907,299.8993701719683,ALB
15,297.9996920217033,297.90216675298797,GAS
16,264.32933016396026,259.2208002595752,GAS
17,228.9849493067713,234.81859795825727,ALB
18,275.39707096479646,280.6268552836849,ALB
19,294.352958368,298.54864599305876,ALB
20,300.0177684779842,294.86133329066666,GAS
21,234.0939991962154,239.09784105928145,ALB
22,261.7329338038739,260.9623462338826,GAS
23,143.10576753161328,141.70110896619926,GAS
24,219.11150270123264,226.3348595395792,ALB
25,261.2750016,,GAS
