Minisector,VER,RIC,Fastest
0,294.4576261653816,310.9730911078402,RIC
1,302.81344703030305,327.33684557714287,RIC
2,274.91658168515954,289.995809052105,RIC
3,116.5559887102037,110.66917481858022,VER
4,235.30526033582981,230.7286960551724,VER
5,275.00538267826084,287.2233594702762,RIC
6,216.0401214967742,226.94488925591398,RIC
7,175.7923904135152,171.2365837333382,VER
8,221.02011490434595,215.23575915295908,VER
9,230.19540229885058,226.175062181564,VER
10,121.0517451891487,120.63839111845219,VER
11,235.3571898749347,233.52106864890217,VER
12,122.25852775091576,123.74912451121564,RIC
13,229.36143589935403,226.99170079064075,VER
14,277.56175584126987,273.6720005546667,VER
15,224.37404352261382,219.4640115540816,VER
16,208.95878018376268,200.4980018389597,VER
17,259.92374101277505,252.6060209992674,VER
18,206.5908190486931,202.94165895766923,VER
19,193.75191090042324,188.72964518842093,VER
20,269.9719143198738,264.05740824733164,VER
21,286.4862318376812,288.4802648213541,RIC
22,170.13315166615345,170.93377074499568,RIC
23,221.75406953873247,220.8055434592396,VER
24,280.35779323873527,273.5939284758696,VER
25,293.78333333333336,285.5770826666667,VER
