Minisector,VET,ERI,Fastest
0,298.0252604666667,302.30527053202644,ERI
1,307.9524234122449,306.6511111111111,VET
2,172.496415550193,155.75072446808076,VET
3,231.00312512,227.11824489142856,VET
4,280.42923379237095,283.4830881882353,ERI
5,298.55559032165684,311.2222073993531,ERI
6,304.34000000000003,323.1803571809524,ERI
7,179.6441971047619,161.13569280000002,VET
8,133.84202368,132.4929642785185,VET
9,254.215942523465,254.49912396252856,ERI
10,286.484375,290.75703146666666,ERI
11,299.44973953333334,305.9788888888889,ERI
12,154.04209280540087,144.59800972938623,VET
13,196.84373643395446,199.6201096347826,ERI
14,264.80812266078175,257.7638202330349,VET
15,203.63405787826088,195.06410698697093,VET
16,226.58486782643362,226.4324958038327,VET
17,219.86746031746029,213.9244026975099,VET
18,250.71947786232494,248.61513235087716,VET
19,280.680638634822,276.597136159204,VET
20,296.6306372392157,291.97492700106557,VET
21,262.20485501632356,247.98435791435662,VET
22,230.07395882666665,214.36014504588746,VET
23,206.93465856969698,214.07341373968254,ERI
24,267.2186273882353,269.80435591361277,ERI
25,286.7,,VET
