Minisector,PIA,BOR,Fastest
0,251.17189466893672,244.4627128877598,PIA
1,136.29575279343567,136.56417836037414,BOR
2,280.78467449766237,271.808323446127,PIA
3,313.8910914289216,305.3099699149209,PIA
4,298.38418624,290.97135067715936,PIA
5,321.08412527768115,308.5010425458577,PIA
6,324.2734034717582,308.33539638435303,PIA
7,318.5317316806324,306.54646013816875,PIA
8,185.603688828409,204.62120359040924,BOR
9,192.1352612596486,186.78011845010124,PIA
10,167.91604886484805,188.44583255791213,BOR
11,173.70566283344982,170.0811699171381,PIA
12,248.61242069049229,239.53006212224494,PIA
13,263.2140419312799,262.13194569336963,PIA
14,262.69468585063333,263.3538844146237,BOR
15,248.56195593650793,263.3789544956295,BOR
16,172.7792623639827,176.76650352237988,BOR
17,187.6728238526281,187.65112893113272,PIA
18,249.7872044236991,233.73725248492997,PIA
19,294.77082539288494,282.85740940546725,PIA
20,316.28499469446695,311.2878239458201,PIA
21,293.6128063830659,294.2912380514891,BOR
22,277.86238534433863,275.71909998583334,PIA
23,235.25895526279635,253.58158110981418,BOR
24,120.18612095629979,118.0298421627439,PIA
25,,218.1956978725926,BOR
