Minisector,SAI,RUS,Fastest
0,310.85074577403503,311.2719200969697,RUS
1,219.50883152306739,201.77648632141526,SAI
2,142.9441728166616,147.3931691040426,RUS
3,220.58544955767195,228.20292337692348,RUS
4,169.85207429866665,164.07233259898763,SAI
5,172.96615046002887,176.33402995579291,RUS
6,250.76338297512459,251.85594229860712,RUS
7,278.16365123555556,280.01530919570064,RUS
8,288.1060716816931,287.5920824330829,SAI
9,260.3975611629082,262.06877268548755,RUS
10,238.34347853101684,243.43829946532634,RUS
11,243.9640684710686,241.5699721847619,SAI
12,201.42099746489964,202.05796888616646,RUS
13,131.23231544509508,129.72636427181902,SAI
14,134.61697848296296,140.56484861932972,RUS
15,170.77452181281308,173.99916912674448,RUS
16,252.7192892127731,251.1252670141302,SAI
17,253.90418628510213,242.2038364673016,SAI
18,114.34916163062648,115.16950181175908,RUS
19,199.082108158796,197.3317237678717,SAI
20,197.7916962548846,203.00903312148606,RUS
21,237.76516945964588,238.71368291555555,RUS
22,274.88115147089945,266.4306799510523,SAI
23,297.3509484781513,286.1098951799489,SAI
24,314.507068400538,301.5163230593016,SAI
25,320.81000064,306.0,SAI
