Minisector,VER,HAM,Fastest
0,275.23513734140954,277.55661612133923,HAM
1,294.4025836928139,300.0185710322909,HAM
2,290.3934620361157,291.47793478647344,HAM
3,181.30821515263747,164.73509557145417,VER
4,121.84511853946367,117.7219544200063,VER
5,231.86074682006512,236.4184976762407,HAM
6,281.03052414222225,292.0561565187846,HAM
7,292.77009702316883,311.91975238095233,HAM
8,180.14039350312171,173.89023660503688,VER
9,141.31234137965973,139.71028236490002,VER
10,247.1846694654916,250.3393933278476,HAM
11,285.1131944205848,291.0507491961426,HAM
12,295.04563509164024,306.9681001220767,HAM
13,283.36664120352737,280.52593003311966,VER
14,293.8589572509174,298.5281003804124,HAM
15,291.6587558273346,304.07807560126986,HAM
16,258.5581840302883,249.81699094305867,VER
17,237.76296541302682,226.21807288645084,VER
18,276.2471838448826,283.81878001986877,HAM
19,294.03849568124673,313.0936248430487,HAM
20,292.8169572305366,320.32774330722464,HAM
21,240.78621387915484,219.44428986660068,VER
22,263.5867564989092,253.93100193787183,VER
23,132.4810816132237,136.59912233409673,HAM
24,213.25711911037922,208.78071390264674,VER
