Minisector,GAS,VET,Fastest
0,299.93812476190476,299.91865344799584,GAS
1,303.02412277894734,304.20764771076546,VET
2,297.23583386666667,303.8767553122807,VET
3,216.6844099539097,218.16028447719162,VET
4,222.11892112315311,225.46402591695238,VET
5,118.17569491927527,121.2351702800306,VET
6,226.71482001785932,226.85644479114336,VET
7,268.9226184126984,268.67757030951947,GAS
8,215.69559979144591,223.93793352478633,VET
9,126.86685072253968,121.39181007090272,GAS
10,244.85954975176136,240.32756523387658,GAS
11,245.61974721987576,251.5122359466667,VET
12,131.2153954287649,137.02982502545075,VET
13,223.09427592533336,219.9988262846271,GAS
14,268.36244053817455,267.05416604444446,GAS
15,214.18571653333333,223.36150282694277,VET
16,169.08973728621612,167.39986966502144,GAS
17,244.84097247407408,245.40639390347934,VET
18,123.04204705853392,124.65736614996895,VET
19,148.03192661718376,144.93885936288703,GAS
20,208.41468107936507,193.34520140076648,GAS
21,259.5421604923796,252.65692706691019,GAS
22,275.5416664888889,272.6874424545282,GAS
23,283.8624998603175,282.3655173577143,GAS
24,293.08559026981084,291.9764365390976,GAS
25,297.3666666666667,298.14999964444445,VET
