Minisector,VER,VET,Fastest
0,273.5441670139669,269.7848008054106,VER
1,232.82587194633876,252.71809686888014,VET
2,110.8327755369948,108.88456696958458,VER
3,177.07517472150468,166.97809884289777,VER
4,177.29308543804515,174.89345742636283,VER
5,212.64578952727274,212.25738670441132,VER
6,269.6316955689165,270.1659402192306,VET
7,288.6693696430252,284.8556786327273,VER
8,182.82124300999408,179.7553721659109,VER
9,121.62974053574548,119.09404751303383,VER
10,134.01952636657293,126.2772939242865,VER
11,176.99264680749616,182.84941644919394,VET
12,216.9675653991619,203.9552094508052,VER
13,129.01467787527318,127.66382342719974,VER
14,151.03507759527025,145.97187394576383,VER
15,115.25631901525416,121.96673274599327,VET
16,249.89175697011783,246.12916311380926,VER
17,135.2499381635112,132.8169357096742,VER
18,187.52355899555764,184.28065132954842,VER
19,121.38693069583344,112.56616564488053,VER
20,127.15046428032898,121.0104238164021,VER
21,118.55111449889976,120.07326517799291,VET
22,137.14043590700885,147.60864940684687,VET
23,214.44393235713866,215.2961200490211,VET
24,231.01261649452147,235.52326027797983,VET
