Minisector,ANT,LEC,Fastest
0,320.17039247686273,316.404809053705,ANT
1,323.9419358127242,313.02758877428573,ANT
2,161.66640293208158,165.46970612656085,LEC
3,159.3477954855914,163.08605785219314,LEC
4,194.22609011343448,203.9678594181818,LEC
5,149.63467008977483,149.22210769711316,ANT
6,206.2544232442081,203.02739102476193,ANT
7,272.2895687169925,272.84628375896085,LEC
8,289.70368407578945,290.7403014135873,LEC
9,278.7137072643386,282.21490643361346,LEC
10,237.6182143674459,243.67010821500935,LEC
11,247.2904793457733,245.38120321176274,ANT
12,225.8861210427211,221.33792096478288,ANT
13,185.74964730166656,180.19822895042734,ANT
14,138.70634719798144,135.173937850492,ANT
15,133.41608617363485,130.83819426290518,ANT
16,197.29916379171726,207.65075210880562,LEC
17,269.4371289502786,267.78213567037596,ANT
18,198.93589049263156,207.8117674838514,LEC
19,110.09296360173407,113.09710062667362,LEC
20,206.67161573714284,205.7016147525926,ANT
21,183.42452413714287,188.83454461168947,LEC
22,245.73947459368424,250.411058469376,LEC
23,278.96621904792937,280.56030132148146,LEC
24,310.16656978225956,307.1137981213382,ANT
25,323.76500096,,ANT
