Minisector,ALB,LEC,Fastest
0,289.82765551908034,302.003968152381,LEC
1,306.8122034673737,324.9108716317889,LEC
2,299.13249952,318.8427083733333,LEC
3,187.06028541283678,184.31187780491018,ALB
4,224.39386883460568,228.58511878095237,LEC
5,212.71069788507822,212.175524460295,ALB
6,197.66278154739302,197.78377484976957,LEC
7,221.2442348636457,219.24154853448522,ALB
8,257.3713546222222,260.5830226815735,LEC
9,260.7472467238095,267.3513893333333,LEC
10,177.98391259301496,179.5043558514851,LEC
11,239.77897455186047,247.42098994000983,LEC
12,122.46617098936592,122.73918429951925,LEC
13,228.98095775853506,236.6005030521166,LEC
14,272.3083664188562,280.50896457416604,LEC
15,277.3479166683983,291.5301586793651,LEC
16,214.7529472948911,214.4380846386079,ALB
17,194.8230036413952,187.28515749252153,ALB
18,269.9595733589518,277.88169451548526,LEC
19,293.0445863256236,303.5137783545863,LEC
20,304.4527424203535,314.9789473684211,LEC
21,305.71068588117913,314.94211066213535,LEC
22,260.97876297052176,264.59831344761903,LEC
23,121.02329030730253,114.91949697897574,ALB
24,241.65278632838098,246.36937848359358,LEC
25,272.9,283.06666666666666,LEC
