Minisector,RIC,LEC,Fastest
0,274.0464236574194,273.94688672422393,RIC
1,243.91931966795778,225.2189235360587,RIC
2,122.37714873423249,113.3412010585356,RIC
3,191.23985575251052,191.8304613865407,LEC
4,187.87697442162946,181.33198851779832,RIC
5,215.5578167423339,221.77175104339997,LEC
6,274.50179817619903,275.8376527581535,LEC
7,293.35044523544474,292.0844495157776,RIC
8,190.0471260808268,177.87414064693823,RIC
9,137.4818302249673,133.18050250723417,RIC
10,133.5099059965202,134.5959989275754,LEC
11,189.51777129925512,187.22844138670266,RIC
12,232.52524736296263,221.36681298079574,RIC
13,138.45336707847963,132.8913027779192,RIC
14,160.7561178766243,153.75597777099634,RIC
15,122.05501712399222,123.40005492315609,LEC
16,253.35842856238222,253.64693799183672,LEC
17,150.41294935468858,146.3227991437567,RIC
18,198.95444096745396,203.88971130340119,LEC
19,140.747004734761,134.2317970826373,RIC
20,157.8135436885444,147.27508025421648,RIC
21,124.86569493737623,126.44156785443016,LEC
22,143.5006888419208,149.07123671221407,LEC
23,223.25346726394372,215.68347660576907,RIC
24,223.1949009192111,228.10206424545578,LEC
25,257.9353249545313,,RIC
