Minisector,PER,LEC,Fastest
0,307.7057984,302.6308503715547,PER
1,156.5273537076302,160.2536069379791,LEC
2,158.19164621440038,162.10611131606302,LEC
3,205.15458817354727,198.97082295187573,PER
4,282.9925520265895,277.64861124444445,PER
5,298.4981066666667,294.3781745269841,PER
6,151.54578044803733,152.61984180583542,LEC
7,137.30993154883672,139.33770403150274,LEC
8,160.45145925436427,167.91555237508416,LEC
9,161.5537328557246,153.02762848977144,PER
10,133.8545862248676,138.03551416750048,LEC
11,128.81377505682607,131.8107857786258,LEC
12,149.39896949744187,143.6017502843592,PER
13,261.3037196591618,254.99428399037888,PER
14,289.7543177291007,282.01325769696973,PER
15,153.46746434949338,160.49960243809522,LEC
16,214.39428864367818,204.02781264778557,PER
17,151.3615169268511,155.07751587642275,LEC
18,263.523515945736,255.71969495115815,PER
19,291.7107953454545,282.03796005541125,PER
20,303.7721874133333,291.9430399030303,PER
21,314.0602101727671,301.514881015873,PER
22,319.49062517333334,306.6418650920635,PER
23,324.44358087692115,310.5436507936508,PER
24,322.65947441269844,308.36312496,PER
25,,307.0,LEC
