Minisector,PIA,RUS,Fastest
0,246.80929661887447,249.22798026869978,RUS
1,283.29665811266955,286.4059398690909,RUS
2,178.7978626030001,160.39321996583988,PIA
3,148.41656446677385,164.25573338583334,RUS
4,255.5375054326702,257.6661540238407,RUS
5,271.99711893809524,269.9265596804494,PIA
6,240.25507352845574,226.37955099831416,PIA
7,209.08538283783136,209.55208529168175,RUS
8,168.86105863234474,164.31109597418077,PIA
9,218.74579607450798,219.99552183709005,RUS
10,271.7223350658806,275.1685119236117,RUS
11,126.85239845557999,132.3219844621167,RUS
12,208.0811969439242,215.09214534182414,RUS
13,273.751235001068,279.31414626438095,RUS
14,297.48061574200784,301.6209004592258,RUS
15,308.23655818153605,313.6191516194286,RUS
16,242.5206871445177,236.88317367934357,PIA
17,129.70063127187055,131.0970918150118,RUS
18,131.34922870233592,129.44818173726068,PIA
19,123.67533284317369,119.63046362505133,PIA
20,226.94229672058088,223.48449655379787,PIA
21,261.7529498048895,256.6689977299411,PIA
22,232.859633608366,238.50092264548775,RUS
23,220.65273319068467,214.99746731082251,PIA
24,141.66248273740212,141.16071429053846,PIA
25,216.89999999999998,,PIA
