Minisector,RIC,HUL,Fastest
0,318.83753837754847,318.8785716825397,HUL
1,326.5250000197531,324.9902777481482,RIC
2,321.6641516356525,318.7718072322233,RIC
3,174.32260051685972,177.74483837883596,HUL
4,136.1162229164021,135.73931288115944,RIC
5,268.8394498230008,268.5664802029471,RIC
6,300.0150977800866,298.79916688,RIC
7,307.6202082666667,305.8299603809524,RIC
8,255.54525966984127,267.35538057142855,HUL
9,155.80365021676747,155.21698753456343,RIC
10,224.42520517530863,216.17758591264368,RIC
11,231.2819008488692,229.0187464678648,RIC
12,206.31245853904056,206.39485752303938,HUL
13,274.5081525797101,273.50359265783754,RIC
14,306.65804756087033,304.29101493696146,RIC
15,315.07312496,311.15375002666667,RIC
16,254.5972655712956,260.1248747936508,HUL
17,215.3016709924757,212.79207081727247,RIC
18,277.5600112138528,275.8185610181818,RIC
19,307.78396305189756,306.62025852198246,RIC
20,316.09642858345865,320.07637840200505,HUL
21,297.8257955555556,300.5751169538221,HUL
22,213.8611907214319,210.99730335961866,RIC
23,268.7302126836959,267.2512479885486,RIC
24,303.3657879147392,301.33229130666666,RIC
25,,310.87618986666666,HUL
