Minisector,VER,ANT,Fastest
0,281.9394506238603,283.9924274007686,ANT
1,123.70385677013142,121.40575524501632,VER
2,161.94534222250445,162.42998544858236,ANT
3,217.56581323658725,215.1683271129697,VER
4,165.24812101213132,169.75294680275863,ANT
5,244.7581799360242,241.4198820695652,VER
6,215.11314765217392,209.38734933908526,VER
7,141.15587768910407,136.27058647817725,VER
8,237.40171837714286,236.337484645528,VER
9,276.06390051137254,279.71055452238096,ANT
10,287.5490730955315,280.0818451672727,VER
11,154.05571515084486,152.93693398096977,VER
12,223.43650745190013,223.70886505083982,ANT
13,270.9402575174943,271.23273822641977,ANT
14,269.08183040694564,261.4926704275517,VER
15,96.86345441992502,102.18310661101034,ANT
16,218.1917044285306,225.56689693544973,ANT
17,272.7869214233766,274.7600149679213,ANT
18,294.87046048750636,296.71972223555554,ANT
19,305.4335635805195,308.1267856220106,ANT
20,311.1181469707602,313.57026495548183,ANT
21,288.1461556404509,271.3886594943165,VER
22,160.89939309260163,160.8803035209358,VER
23,238.1685923886595,248.54243497256903,ANT
24,281.49473720760886,279.9507864212587,VER
25,289.0571428571429,,VER
