Minisector,PER,RIC,Fastest
0,298.8965482242157,307.482579754946,RIC
1,237.62630010677952,232.31435062003712,PER
2,191.57249593997113,187.48090804722955,PER
3,262.14178428279394,260.7837901598797,PER
4,219.2848662512619,215.16136909593632,PER
5,109.39415515431543,105.62842804981716,PER
6,174.62902343645996,168.29303088688823,PER
7,258.7211670042452,252.5093649986317,PER
8,293.17002371577513,290.9474291748571,PER
9,308.6690031211362,315.32777396825395,RIC
10,315.78444044419047,325.00865687997646,RIC
11,222.82038472409567,205.5174193677037,PER
12,137.7906194103592,139.71999912218223,RIC
13,254.05180110002425,252.43862050163216,PER
14,293.6065766145184,290.87000777142856,PER
15,306.4064655752804,302.5479373902065,PER
16,302.00153508771933,299.0911615063286,PER
17,253.0333413094231,249.5155370337516,PER
18,178.8600014459966,168.34850103354214,PER
19,169.99783153902573,170.01249202626707,RIC
20,174.50838492718728,175.45680995613606,RIC
21,235.25429028647193,235.90286257142859,RIC
22,118.67777862467156,108.63925827500768,PER
23,200.51585508916244,194.39859651533646,PER
24,277.43469787583547,282.06064733284705,RIC
