Minisector,ALO,VET,Fastest
0,299.52328707261836,302.76145128425827,VET
1,238.0265144577573,240.2282818176661,VET
2,196.53617646867673,196.82873665608466,VET
3,264.4246260825397,270.6230989399171,VET
4,225.48455029978953,228.91693529462367,VET
5,110.11583959917385,109.73099645548429,ALO
6,172.95846680857125,178.73185904509967,VET
7,253.19856434022986,257.79508944761903,VET
8,281.2247204504203,283.95721778109504,VET
9,297.094000128,297.4431666773333,VET
10,300.5335144811594,301.1355902222222,VET
11,231.89086275019474,236.82987737265745,VET
12,147.32625817388558,145.77727289108546,ALO
13,254.44176681858838,257.6302934366567,VET
14,286.22379246146005,288.1881045389918,VET
15,296.3211805777778,296.1361112,ALO
16,291.50513756628044,283.6721291860455,ALO
17,251.00735875555557,245.6253170336508,ALO
18,175.0348306133153,172.48088771580942,ALO
19,177.99991111042388,179.61774923767612,VET
20,174.2607017714286,176.99456894095238,VET
21,240.87654583192042,242.49237015199944,VET
22,119.06155459626835,123.01191620696929,VET
23,197.9489197619697,186.62515699596116,ALO
24,279.2668998696274,280.64895261866667,VET
25,295.85833386666667,295.3166677333333,ALO
