Minisector,PER,VET,Fastest
0,292.87877951238096,285.98287966621314,PER
1,303.21833919655245,294.2249736412247,PER
2,306.35379073283207,297.66080945630154,PER
3,301.1798254035088,297.19729168,PER
4,172.6620399388529,174.60705176904779,VET
5,204.71963344780576,211.0307093728395,VET
6,227.6174047025845,234.3718154606389,VET
7,263.5388252121212,262.6188660935818,PER
8,262.7930960429799,263.28010079637187,VET
9,161.11457683620884,160.9598413086638,PER
10,228.81482235581993,228.7518254822346,PER
11,129.11472945736432,136.71170537517537,VET
12,207.30920904156062,221.09939262519083,VET
13,186.59347223576944,196.41393765517242,VET
14,216.4248960066364,202.6320509916158,PER
15,237.0309774031746,236.83116689066668,PER
16,259.43868672126297,252.84315413632842,PER
17,285.1873016888889,278.9583663485546,PER
18,122.82835715526305,143.83910752949183,VET
19,157.36477390898185,151.0494611246453,PER
20,147.13935784356363,138.7944839490518,PER
21,156.98719512991474,165.453532672837,VET
22,115.8563365524394,111.21990260719492,PER
23,229.90340413709185,212.91210632204513,PER
24,272.4539798201592,261.55651870611234,PER
25,284.5625002666667,277.5714285714286,PER
