Minisector,RIC,NOR,Fastest
0,282.59905127961474,279.5681953316017,RIC
1,157.94177584017072,154.15493791535638,RIC
2,138.26180387777066,148.6314690246691,NOR
3,224.41703128021805,222.7840303466428,RIC
4,280.512163305503,278.93313288195003,RIC
5,282.6254861536088,275.89417226179893,RIC
6,142.46815894404136,138.9396024858884,RIC
7,137.77844594909706,135.3457065266651,RIC
8,137.29103197798585,140.49617658320207,NOR
9,183.69467853117823,178.5331482857084,RIC
10,123.40414803278438,123.94242444643933,NOR
11,116.73994784779784,120.91701209378019,NOR
12,166.8676912957265,156.6158810867378,RIC
13,265.3676550311155,262.0509733142058,RIC
14,283.5018571291428,283.3730300757431,RIC
15,140.06123709332357,142.9438973714802,NOR
16,199.59321253918426,199.72720542765902,NOR
17,170.22250417495346,168.68308201013065,RIC
18,269.94802459337143,265.4791038825056,RIC
19,290.1545236901587,288.1027127877586,RIC
20,303.22311590055335,301.723068312381,RIC
21,310.911499968,310.85242606522365,RIC
22,313.4640350690059,313.54150251959595,NOR
23,315.8301354596575,313.9837187037697,RIC
24,313.5161452175964,310.42425512556264,RIC
25,308.0,,RIC
