Minisector,PIA,HAM,Fastest
0,306.82790415157893,311.17453416784315,HAM
1,202.38621319717421,201.2252361876015,PIA
2,146.16713702538397,149.6031949640037,HAM
3,223.8063662509317,223.143648989899,PIA
4,168.73171074760288,163.53789687086882,PIA
5,186.5317798873397,186.45497270845095,PIA
6,254.04752800504426,254.2132454496203,HAM
7,278.08694067221154,282.4458911259259,HAM
8,287.6247796001411,290.25896103896105,HAM
9,255.32314972825645,263.37380915185304,HAM
10,234.69154256699417,240.28619622707572,HAM
11,236.31738694209525,237.43109142857142,HAM
12,197.72000278479788,195.70525058888663,PIA
13,131.4716307074533,131.76311226056276,HAM
14,137.94550059837957,129.4952539953116,PIA
15,172.06649278538353,181.1252438276139,HAM
16,246.1549465748687,252.06697278911565,HAM
17,243.25556197417177,225.42608782166556,PIA
18,115.91444538541265,115.62336680061965,PIA
19,197.16452986809819,207.92062067435796,HAM
20,206.49178074048308,204.14165680383078,PIA
21,234.6361764144773,242.94660475010267,HAM
22,264.3474545183174,270.1821927124329,HAM
23,286.40722024515406,289.42730648761903,HAM
24,300.24259632924293,303.7662776854297,HAM
